Row.names	X.SampleID	BarcodeSequence	LinkerPrimerSequence	Location	Sampling_date	Loc_plot_ID	rep.by.loc	Soil_Zone	genotype	crop	Herbicide_History	Glyphosphate_Treatment	system	System.loc	X	Sample	I	D	year	ITS_seq_plate	ITS.date	X16s_seq_plate	X16s.date	original.well.plate	X.1	Year	Site	Plate.	Run.	Original.Well	q	PCR.Well	original.well	Well.Type	Replicate	Threshold..dRn.	Ct..dRn.	Quantity..picograms.	RSq..dRn.	Slope..dRn.	Correction	Axis.1	Axis.2	Axis.3	Axis.4	Axis.5	Axis.6	Axis.7	Axis.8	Axis.9	Axis.10	Axis.11	Axis.12	Axis.13	Axis.14	Axis.15	Axis.16	Axis.17	Axis.18	Axis.19	Axis.20	Axis.21	Axis.22	Axis.23	Axis.24	Axis.25	Axis.26	Axis.27	Axis.28	Axis.29	Axis.30	Axis.31	Axis.32	Axis.33	Axis.34	Axis.35	Axis.36	Axis.37	Axis.38	Axis.39	Axis.40	Axis.41	Axis.42	Axis.43	Axis.44	Axis.45	Axis.46	Axis.47	Axis.48	Axis.49	Axis.50	Axis.51	Axis.52	Axis.53	Axis.54	Axis.55	Axis.56	Axis.57	Axis.58	Axis.59	Axis.60	Axis.61	Axis.62	Axis.63	Axis.64	Axis.65	Axis.66	Axis.67	Axis.68	Axis.69	Axis.70	Axis.71	Axis.72	Axis.73	Axis.74	Axis.75	Axis.76	Axis.77	Axis.78	Axis.79	Axis.80	Axis.81	Axis.82	Axis.83	Axis.84	Axis.85	Axis.86	Axis.87	Axis.88	Axis.89	Axis.90	Axis.91	Axis.92	Axis.93	Axis.94	Axis.95	Axis.96	Axis.97	Axis.98	Axis.99	Axis.100	Axis.101	Axis.102
223.S51	223.S51	NA	NA	Stoneville	pre	103	NA	bulk	RR	soy	15yrs	spray	NA	NT-MS	NA	Plate1	E	3	2013	235	4/11/16	223	3/4/16	E3-Plate1	NA	2013	Stoneville	Plate1	Run1	E3	E	3	E3	Unknown	21	0.5942	18.29	3.93	0.996	-3.498	0.788537121	0.287009495903398	0.191152531138535	0.102762372411242	0.019083371810929	0.0658064686432249	0.00779824295810359	0.169681477217548	0.0278968171749699	-0.074897817070433	0.033304733275659	-0.0223192477573135	-0.00182449120241186	-0.0215405756897032	-0.00364415550610667	0.0458926807737675	0.00156242597533444	0.0220501622323228	0.0824272107628304	0.0215165008359813	0.0235415298171966	0.0186212056153971	-0.0104472771191171	0.0520094339160396	-0.0225997195885854	-0.0746702416506418	0.0382624065524543	0.0196169561926607	0.0689496705470985	-0.0441438165682737	0.0552522199503149	-0.0416106497592296	0.0155894904378142	-0.00887770579408066	-0.0154612579138998	-0.0667350795429205	0.0377990794334274	-0.0520329682296031	-0.0191671712275227	0.00789159254953852	-0.00641984756885227	0.015807557918296	0.0493256482836225	-0.0136441258470912	0.0173761825294684	-0.00271300212385368	0.0170181090608317	0.00723305592547177	0.07215248365878	-0.0186355587804314	-0.0320457377224224	0.0125806274592876	-0.0379626598874733	0.0297000674214334	0.0266999395214791	-0.027417178772534	0.0336336901896164	-0.0198089078334468	-0.033677609203956	-0.0122151876963194	0.0111079290221313	0.0321609381232093	0.0197399966783931	0.0687120278888573	-0.0229105216448591	0.024385046313928	0.0334875839521233	-0.00727614372852445	0.0155650071355278	-0.00789416368866684	-0.000240334774220104	-0.00295606752927511	0.0137420162356857	0.0319990508230358	-0.0303756224713335	0.0136244702937644	0.0200876558918714	0.014298704542449	-0.0529830773794118	-0.0217509651364075	0.0457859804274015	-0.0173836045210214	-0.00355190920598102	0.0323799731920661	-0.0162768417897539	-0.00914406586077155	-0.0145037988505161	0.0117995140034448	0.00344775772453455	0.0222005339974124	0.00444367089705897	-0.017968489949488	0.0175274543155785	0.0250977881281618	-0.0047002916291918	-0.00477625510375188	0.00141653961019151	-0.00652836359910691	0.00905091709505792	0.0130738710871188	-0.00753347502551955	-0.00209168361458458	0.00190916124200315
223.S53	223.S53	NA	NA	Stoneville	pre	105	NA	bulk	RR	soy	none	no_spray	NA	bahNT-MS	NA	Plate1	E	5	2013	235	4/11/16	223	3/4/16	E5-Plate1	NA	2013	Stoneville	Plate1	Run1	E5	E	5	E5	Unknown	37	0.5942	18.5	3.42	0.996	-3.498	0.686207876	-0.307961955772951	0.140781121483204	0.0965527414984616	0.0179235205355687	-0.0603334422268396	-0.0447196800126603	-0.02810669128481	-0.0235174257917905	0.00576832224224048	0.0592743334239472	-0.123357109665382	0.041744210664159	0.0855763251042318	0.0110692059499416	-0.0157319480337124	0.027821358383757	-0.0580023710225036	0.10916522540182	0.0368346483591216	0.0738133288965536	-0.107873409727589	0.032867991105901	-0.0188863385571988	-0.0309016313611609	0.00286583966156028	-0.0586625504654096	0.00293438464279555	0.0246949376783113	-0.013567914191313	-0.00857615862489059	-0.00588601326177543	0.0110030001682599	-0.0145660756521719	0.0358524426275002	0.000105899753564462	-0.0225881590945054	-0.00827875068234407	-0.0322354090744777	0.00599239606515739	0.0123869404439802	0.0285951418998649	0.00596142216157659	0.00873703075557499	-0.0152171340502064	-0.0408603852294762	0.00245977409654312	0.00677611175363222	0.0165037014923285	0.00129104284738845	-0.0330907574544365	0.00120131998337479	-0.0230098679798849	0.00092663850580376	-0.00948841681362722	-0.0203081085555435	-0.0154388494292453	0.00544932137576854	-0.021437215017255	-0.0427245587598518	-0.00393578583288417	0.00930444338602904	-0.00359028661854457	0.00243612920057821	0.0279121387100335	0.0140452294638089	-0.044905747085878	0.00520401386362253	-0.00482194385646898	-0.00200719849703905	0.0202486306648404	-0.00972709104317789	0.012850378163965	0.00328306798241761	-0.00194130303067443	-0.0630262477638027	-0.047212189740289	-0.000434375505251929	-0.0463560156711681	-0.00705236750315818	-0.00437012315583402	0.0127919659050029	-0.0427987001839999	0.00254785807912096	0.0153880958444447	-0.0174643528206167	-0.00899125709870862	-0.0784344805573128	0.0113380065759639	-0.0293579375063566	-0.0134548083465044	-0.00160749427474897	-0.0162364943081168	-0.0124608811569474	0.0166778831214621	0.0251049872008619	-0.00433950341548151	-0.0196844451688969	0.00374969855626752	-0.0125888254067744	0.0126511100186183	-0.000815643152309433	0.000302300648003224
223.S54	223.S54	NA	NA	Stoneville	pre	106	NA	bulk	RR	soy	none	spray	NA	bahNT-MS	NA	Plate1	E	6	2013	235	4/11/16	223	3/4/16	E6-Plate1	NA	2013	Stoneville	Plate1	Run1	E6	E	6	E6	Unknown	45	0.5942	18.44	3.57	0.996	-3.498	0.716304713	-0.328264014901866	0.11181241858605	0.0561305857100122	-0.0179283888879556	-0.108687896142607	-0.0198934172110387	-0.0472661124077915	-0.0504983919603882	-0.0689701866942388	0.0866816214208823	-0.0516402419733903	0.0121674046111932	0.0853395476752288	0.0403878054242653	-0.00928511190008793	0.0467509479060241	-0.0457513057224643	0.0541606749308358	0.0275832815327675	0.0757827970083652	-0.0727307766685594	0.0202239233243344	-0.0136253111738737	-0.0365823404730581	0.0257213862371744	-0.0166449583450283	0.0119331508854706	-0.00662300945419653	0.011721582899797	-0.00354775489055781	-0.00145594256139747	-0.00600441621347362	-0.0153025699176363	0.0214686579139841	-0.0335603029302903	-0.0189187625556038	0.00327646517876831	0.0125987752194406	-0.0132252433149624	0.0206941779577164	0.00065536203784964	-0.0241754586214979	0.0107099230456749	-0.0167948828124534	0.00623853287512701	-0.0145504983540546	0.00577146673169686	-0.0215909280629342	-0.0436615589260286	0.0190857526787116	0.00680773008506197	-0.0113454597605055	0.00212522074836013	0.0106083136726155	-0.00101321011482201	-0.0307362578731994	0.0260421619777446	-0.00160061964904281	-0.0399243654450465	0.0579150398818517	0.005722482118918	0.0358225624279362	-0.00987328119976184	-0.0100179762672534	-0.0526575898691864	0.00305356152670899	-0.0417356377555617	-0.0627052428801193	-0.0142423450668628	-0.0359610702868145	0.0128581868403208	0.0491251726272118	0.0387003760457664	0.015184308821239	0.0689993385151041	0.0209493438873718	0.0364456237853555	0.031835360330234	-0.0159988385220455	-0.00802656256863641	-0.0122608568180149	-0.0181288012296479	0.026553713004072	-0.0122857739151621	0.052647273930472	0.0210604519538285	0.0139387163445862	-0.00125370092734177	-0.00377633580746735	0.00246422705265604	-0.0158712789495478	-0.00514644607778544	-0.0100775544870059	-0.0252028714350965	-0.0144914007103005	-0.0181440456566371	0.00575786353597012	0.00379804019049387	0.012198321497062	-0.00129560991622066	-0.00504107523120492	-0.00192255327056348
223.S56	223.S56	NA	NA	Stoneville	pre	202	NA	bulk	RR	soy	15yrs	no_spray	NA	NT-MS	NA	Plate1	E	8	2013	235	4/11/16	223	3/4/16	E8-Plate1	NA	2013	Stoneville	Plate1	Run2	E2	E	2	E8	Unknown	61	1.0171	19.57	3.86	0.995	-3.616	0.77449193	0.328066578666001	0.141206530202653	0.0431464206821428	-0.00446398814767183	-0.0558834386840824	0.00798936422395901	0.0441601156183202	0.0248791846610402	-0.0135338837914773	0.0357617243331343	0.00534346120507563	0.0806282703348723	-0.0391939458115058	0.0455823879491481	0.0449130994410536	0.00203031979916956	0.070701527579678	0.0624151587562466	0.0134410897102844	0.0160783158707972	-0.0885630535376384	-0.00357870428862598	-0.0403891176174311	-0.0166616226494171	-0.0314020489265173	0.0184696210502834	0.0200161259198422	0.0739225137565879	0.0467180182779336	0.0561289825870936	0.0174382090355082	-0.0403569041822141	0.0405352830209264	-0.0281323246323514	-0.0072919348553603	-0.00537596375806152	0.00284211692200763	0.0328931082023503	0.0205751038413231	0.0225145846171854	-0.0480003788212564	-0.0305520040039795	0.00204204794773139	0.035492789999479	-0.0390849576602803	-0.0564123262611545	0.00519832901235027	-0.010046733854404	0.0246052585485765	-0.0376556802262106	0.00080036739263968	0.0172972359658703	-0.056410240756108	0.00905528475891696	-0.0543162025986039	0.0163781669200507	0.0476818945314855	0.0601131599755644	-0.00564996216115193	0.00318516555382219	-0.0033682225044492	0.0123896680708869	-0.00582773072233507	0.0202476024763343	-0.0448387909352567	-0.0474240868573155	0.0111258117079851	0.0348301592639226	-0.00540533909350775	-0.0176968621690174	0.0342786529497395	-0.00762921169454917	0.0200110348538673	0.0047726797343914	0.0166228518810111	0.0258638466608401	-0.0377447772028487	0.0140115060714129	0.0252514060381319	-0.021207630697055	-0.0139048948158369	0.0190543767987393	-0.00190379206068438	-0.0155279089160012	-0.00564176604471317	-0.00324419321797992	-0.0282605287907959	-0.00270352494189816	0.0356625759885178	-0.0214079995889578	0.0253263802035588	0.00700144354236783	0.0355521891802886	-0.00668412542157553	0.00300277651826987	0.0259196078053299	0.000364154116867489	-0.00141907054562699	-0.0109141691784501	0.000787241930622715	-0.00815541402044098	0.0016756056885417
223.S57	223.S57	NA	NA	Stoneville	pre	203	NA	bulk	RR	soy	15yrs	spray	NA	NT-MS	NA	Plate1	E	9	2013	235	4/11/16	223	3/4/16	E9-Plate1	NA	2013	Stoneville	Plate1	Run2	E3	E	3	E9	Unknown	69	1.0171	19.37	4.4	0.995	-3.616	0.882840542	0.336424242866334	0.163305384829407	0.0758080925500724	0.0475739710979219	-0.0419547090611948	0.0422207988293062	0.0873599138897422	-0.0063555028368164	-0.0101935043410873	-0.0280547917783817	-0.00682173730246479	0.0445139594601966	0.00365917480515143	-0.012703823505384	0.099075426381969	0.00307909571339361	0.011261126165765	0.0714800627285893	-0.00384248991110259	-0.0147630197526937	-0.0451754663685354	-0.0050322476377694	0.00976723000645669	0.0200882681867713	-0.0173598333788502	0.0132728119135345	0.0171998816181486	0.028802493252348	0.0053606981648119	0.0327572100698831	-0.00598176421243597	-0.0252695229053317	0.0602459678960476	-0.0171474851263673	0.037100622960808	0.0162101923421593	0.0467852250218589	0.0507337345712887	-0.0282138758462105	0.0147389245020823	-0.00901620168971752	0.0302426524474638	-0.0280096131634383	-0.0216202338638967	0.0113133903453067	-0.0178632197947293	0.00487832784855133	0.0748898623201947	-0.0425371624323441	-0.0227990987166661	0.0687460523372854	0.0390463898073082	-0.0176064306717347	0.010649172522307	0.00584577623371941	-0.029681635994428	0.0224258730024824	-0.0453062021771706	0.0191544233328156	-0.0223292595437263	-0.0666614037015444	-0.000469151606471097	0.00343443721832171	0.0052643859073244	-0.0129506102371183	0.0600311420355738	-0.0122756915313671	0.0153953859681523	0.00604139591368796	0.0584599249165637	-0.0195697950845422	0.0412227317678241	0.00508101720664951	0.0159834470527619	0.0139677447533779	-0.0345289250334003	-0.0139357986196561	0.0385909109600045	0.0289965525957338	-0.0321963791300518	0.00376286681574392	-0.00505058160745824	-0.0305179971644171	-0.00267047348342832	-0.0173036246448264	-0.00513849066593424	0.0196143621575233	0.0161375107508296	-0.0240849475058009	0.0109554694575076	-0.0033932789985433	-0.0108671707295243	-0.0200431544311151	0.0100548147229474	0.0147254206429141	-0.0298533787971186	0.00158924476438547	0.00593342274661547	0.00642455816402904	0.00134086709643158	-0.00134910800218244	-0.000702678690455292
223.S59	223.S59	NA	NA	Stoneville	pre	205	NA	bulk	RR	soy	none	no_spray	NA	bahNT-MS	NA	Plate1	E	11	2013	235	4/11/16	223	3/4/16	E11-Plate1	NA	2013	Stoneville	Plate1	Run2	E5	E	5	E11	Unknown	85	1.0171	19.45	4.16	0.995	-3.616	0.834685604	-0.307379220136653	0.144410382454687	0.114332860041114	0.046979864935995	-0.00623960128860426	-0.0100916096983974	-0.0282223597856664	0.0104887807558555	-0.00811834564286657	0.0581258955572722	0.197042399449442	-0.0222518717832485	0.0815083491453041	-0.0262286016777757	0.0225147435114567	0.0246889438394436	0.0588737205740383	0.118587262664087	0.00873208648514485	0.0764396591615893	-0.0110111099407186	-0.00407029021060338	0.0306031783343602	-0.0292118414114457	0.0297287464795908	0.00826251467173623	0.0189708743491628	-0.0104977950411144	0.0112534125265762	-0.0668356969309166	-0.019175888919669	-0.0103849422063656	-0.0362984886449893	0.0259047392513093	-0.0230095623932298	-0.0302875262437649	0.0214285888014506	-0.028923466445539	-0.0142887093365825	-0.00248058979520283	-0.0734995724282693	-0.0346156908507346	-0.0734798693568235	-0.000131133425031237	-0.0259804954516837	-0.0343394767807462	-0.0188958165154961	0.0311623119555397	0.0712070470369131	0.00109325127639794	-0.0931900746474807	0.0859148832551525	0.0361443915195884	0.00529370425506746	0.0330157720791661	0.00150812001544148	0.0220334611676893	-0.00356306732912661	-0.0269881290817655	-0.0492769420849425	0.0143582398262838	-0.00113170580611932	0.0121049576501702	0.000252756674900814	0.045055069111642	0.0477489194396811	-0.00418526352671733	-0.00418275540020524	0.0224944845050693	0.0151681306578611	0.00139492014249771	-0.0189298247924801	0.00451973713266149	0.0199633563787763	0.0164480073650784	0.0204179027925308	-0.00605448127460254	-0.00377098866989576	0.00608210029824553	0.014225116709447	0.00523311917881998	0.00340795177056885	-0.0179930375725136	-0.0107376785021893	0.00938602879462811	0.0140729707211566	-0.00129779929093998	-0.00612894056875947	0.00455880113221747	0.0160887627025745	-0.0044378699464714	0.00134807639384646	-0.00712543181270061	0.00313810919097892	0.0085134893671883	0.00711793708452092	0.00339385412704657	-0.0034744095892281	0.00119870099298512	0.00497006726270714	0.00428819004412713	0.00101286495536483
223.S60	223.S60	NA	NA	Stoneville	pre	206	NA	bulk	RR	soy	none	spray	NA	bahNT-MS	NA	Plate1	E	12	2013	235	4/11/16	223	3/4/16	E12-Plate1	NA	2013	Stoneville	Plate1	Run2	E6	E	6	E12	Unknown	93	1.0171	19.3	4.6	0.995	-3.616	0.922969658	-0.235142233645324	0.116309252813565	0.0544204787457582	0.194874696445809	-0.102743902951299	0.032196062284184	0.09395938569818	-0.0181551403536795	0.189112845106633	-0.0658314550872451	-0.0911637387295755	-0.0318904140797333	-0.0067239807865519	0.0243041543870503	-0.0284756555733676	-0.0261025911857615	0.0196175102313447	0.0200727840808241	0.104326864632954	0.0080663298021469	0.00820860420972232	-0.0454874646704557	0.0766534276066851	0.0431190206912405	0.0653377447050349	0.0139899161338212	-0.00326955688571749	0.00158962261306004	0.035540680084896	-0.00518082542936409	0.00544686576939959	-0.0210200043188391	0.0475469159265914	0.0341669025319987	-0.0127465167493334	-0.0101738990999928	-0.0122881744450794	-0.00661789431480117	-0.0152167567090641	-0.0187873991551755	-0.000692362614947754	-0.0231923491527332	-0.0142011840019995	-0.033774959012313	0.00492717177194997	0.00251078357392796	0.00858424017466744	-0.00860023474491788	-0.0277665996241914	0.0310828906492144	-0.0155680849932215	0.000174384507883477	-0.0213796093411704	0.0153688754491009	-0.0178550102129063	-0.002457608152865	-0.0423970837633916	0.021779004347778	-0.0199887318444118	0.00386782578079751	-0.00214016268129458	0.00828258851344626	0.00956748922661413	0.0118136614192174	0.0105840057587716	0.0030932140455647	-0.00652320540820792	0.0343877630860037	0.0126009686477735	-0.0335295238903565	0.0108424970092007	0.00435465265057276	0.00595928164165092	-0.0066456953070725	-0.0214985416665069	0.0148432680621889	-0.0289319677940738	0.0203056551936152	0.0202502503087228	-0.00987225902009052	6.01217491026348e-05	-0.00837024075243075	0.0211471140041032	-0.00651821673154415	0.0189949979969412	0.00890113559993743	0.00147022613115878	-0.0172053599484667	-0.016612834696836	0.0294430514201198	-0.0171866685027575	-0.0158666797611748	0.0186444678370697	0.0612894986833278	-0.0275527306563161	-0.0140291234683704	-0.0237162420952011	0.000164180443366584	0.00705817796222665	-0.0219123138457087	-0.0039746778977512	0.000902275598233021
223.S63	223.S63	NA	NA	Stoneville	pre	103	NA	rhizosphere	RR	soy	15yrs	spray	NA	NT-MS	NA	Plate1	F	3	2013	235	4/11/16	223	3/4/16	F3-Plate1	NA	2013	Stoneville	Plate1	Run1	F3	F	3	F3	Unknown	22	0.5942	18.26	4.01	0.996	-3.498	0.804588767	0.259819759388683	0.202702871847819	0.156997781198291	-0.0676477941200668	0.179527672566003	-0.00328775914265736	0.175403350681815	-0.00678734257999218	-0.116789262492188	0.0168962629749501	-0.0301346983769453	-0.0939587689672859	-0.0513678374941617	0.0279171512761125	-0.022664256364891	0.00299891010084321	-0.0101449032656692	0.0165541817818939	0.0336392254813636	-0.0255826456062692	0.0432803530863993	0.00347765880726303	0.0953007746485324	-0.0135944394294326	-0.0222488844133211	0.0181536023325813	0.00678408852270262	0.0229111009262546	-0.00928749511979838	-0.0649518237969357	-0.0707712268425784	0.0757212295380293	-0.0319602350302143	0.0391013326601861	0.00540591083610372	-0.0115752710689376	-0.131262295220943	-0.0523570587617204	-0.0354753336218881	0.0236583967990948	0.0632622025111543	0.0434605428031492	-0.017949746767231	0.0306319551507981	0.00117216847990201	0.0118863691788018	-0.064524591840723	-0.042646280596506	0.0249705961677434	-0.0186277596822783	0.0162817346899265	0.0316691954655238	-0.00608342021396129	-0.00572900176448581	0.0196135098921465	-0.0274524816396297	0.0262955382566818	0.0420146408743317	0.00500379139416685	0.032758881702699	-0.0534082811899098	0.0349464894711247	-0.0431587867694504	0.00576712476037039	-0.00571970645739586	0.00272703650736451	-0.00252154460812858	0.0146480065303089	-0.0140353773316423	-0.00870435332909453	0.00656000694035252	-0.0199022091876935	0.0116016319562836	0.0323751751422447	-0.00949408687096478	-0.00810627898395332	-0.0116533452156494	0.0380725637166029	-0.00408155285579905	-0.0204259324603712	-0.00495398107228334	-0.00472566231821201	-0.00902433616691389	-0.00429574492340597	-0.00118046596218402	0.00997655246082396	-0.0084173766014268	0.00211147942913662	-0.00105713150251193	-0.0100245589309361	0.00422309790498055	0.00184510922885191	-0.00389690532496114	0.00665469747920175	0.0113523212934477	-0.000696129822163897	0.00549634860517303	-0.00337786838638181	0.0023402382111507	0.00328319262998074	0.0043214221345692	-0.000341864597545904
223.S65	223.S65	NA	NA	Stoneville	pre	105	NA	rhizosphere	RR	soy	none	no_spray	NA	bahNT-MS	NA	Plate1	F	5	2013	235	4/11/16	223	3/4/16	F5-Plate1	NA	2013	Stoneville	Plate1	Run1	F5	F	5	F5	Unknown	38	0.5942	18.38	3.71	0.996	-3.498	0.744395094	-0.315100462638319	0.148360233049438	0.0598265797110812	-0.123418997530834	-0.0479443377782991	-0.0612779833120136	-0.0965024749217558	-0.00144135290046198	-0.0721663804904336	0.025505420563417	-0.140867987741762	-0.0187380180181653	-0.0496053288921691	0.0219703077443323	0.046173574856482	0.0366122806805908	-0.10469017057766	0.0280002074808246	0.0510356026453629	0.00116228764791238	0.0121182297589253	0.00857993569536677	-0.0498438909810557	-0.016497908749903	0.0501736306566393	-0.0451180205840769	0.0482399610405998	-0.0112739137378321	-0.0379124371028332	0.00657846862594434	-0.0263180757149226	0.00665912630730474	-0.0362984872638959	0.0140335609926137	-0.0168040940046215	-0.0135338093236602	-0.0176903825015013	0.0380008051355736	-0.00969150181819682	0.0151148127602091	-0.0163833816429911	0.0535815301949452	0.0568559701797762	0.00626017944306261	-0.006080367620468	0.00918435195336252	0.0273725306291534	0.016916994876191	0.00838776658890459	-0.018065916476388	0.0073995464652097	0.000391386778016963	0.0276433667276919	0.00717553465297612	-0.00941717773299765	-0.00927539619120536	-0.0292217852672469	0.0389481098846847	-0.0161234598843822	-0.0248862640494219	0.0104921462637284	-0.0171548263767199	0.00249364690991027	-0.0169623825293217	0.0229158946385543	-0.0135395633771142	0.0230479616853915	0.0101892299431844	0.0114821086797009	0.0458261644791937	0.0379408368171608	-0.0460537614201561	-0.0371075933331741	0.0174133360587125	0.017325048122108	-0.0294534697850768	0.0204014175132755	-0.0197980523358845	0.0176281060248896	-0.0569987385014672	-0.00791570294755264	0.0388324638234978	-0.0304075062527524	-0.0198635891470751	0.0294603024452528	-0.00176527440349328	0.0264322387331138	0.00988175625629082	0.00860058077598077	0.0466548046745525	0.00709948913862576	-0.00275262718395341	0.0412534709222195	-0.00482234893737739	-0.0136049574517412	-0.00186760583233594	-0.00494286484020128	-0.00906828687256027	0.0140411909010059	-0.00303799814152398	0.00262387171960636	5.11446970608229e-05
223.S66	223.S66	NA	NA	Stoneville	pre	106	NA	rhizosphere	RR	soy	none	spray	NA	bahNT-MS	NA	Plate1	F	6	2013	235	4/11/16	223	3/4/16	F6-Plate1	NA	2013	Stoneville	Plate1	Run1	F6	F	6	F6	Unknown	46	0.5942	18.58	3.25	0.996	-3.498	0.652098128	-0.318757612841592	0.175586316497219	0.112003687496236	-0.0816684861486723	-0.00473368335691945	-0.0634111064676417	-0.0967460137782761	-0.0140851597283078	-0.0279236322863679	0.0504629578446433	-0.0106807425102734	-0.0361170114456794	-0.0125336223504501	0.00877256040022837	0.0231964766154931	0.0303387658048317	-0.0038805732024547	0.0306228133645603	0.0347840090211937	0.0573693702212355	-0.0153444685772577	-0.0298034671766276	-0.0384805521462841	-0.011083147064334	0.0880324996840626	0.0254756760820999	0.047306961825645	-0.0542008036574395	-0.02730449338852	-0.0270902023264621	-0.00780400395085356	0.00351089389764615	-0.052435013652472	-0.0156007591534642	0.00529412963430537	0.00774938149115998	-0.0198266972298925	0.0748298242081767	-0.0510885031322945	0.00538531103376326	-0.00323556085802161	-0.0207953101342569	0.0306422722846183	-0.0292095494695754	-0.0258901773253539	-0.00689867603595157	0.0137505351477844	-0.00740867948291277	-0.0451363112044218	0.00901793171224866	0.00965036611285581	-0.0347847909122656	0.0399625212622792	0.0298392340543299	0.0300644898487107	0.0378153220074097	0.0122661211235818	0.00962030764875953	-0.0138370591482709	0.0800335792416493	0.0140509947380726	-0.00786019749895244	0.00656433644989208	-0.0114107854264095	-0.0377812748430593	0.0515606613918121	0.0127744849504967	0.0453279354542759	-0.00948914697634005	-0.0138106388845036	-0.0229050325464363	-0.0210407396350754	-0.0303343661348552	0.000597228750353403	-0.0129232701148049	0.0268985939252771	-0.0360009654014303	0.0248302469346152	0.0106864318862876	0.0306335724553466	0.00152872861381785	0.017251101807046	0.00563392185993896	0.0224056067967017	-0.0723506740403648	-0.014239804154129	0.0106120273357845	-0.00582178548266572	0.0112495096445125	-0.0112466385729466	0.0190584824420568	0.00372636564362135	-0.0205866178120683	0.00414070762876302	0.0181051787838521	0.00459981114809241	-0.00957911996425097	0.00208425935833353	-0.0074315463265647	-0.00239177195877122	0.0035914206608234	0.000109393498866459
