Row.names	X.SampleID	BarcodeSequence	LinkerPrimerSequence	Location	Sampling_date	Loc_plot_ID	rep.by.loc	Soil_Zone	genotype	crop	Herbicide_History	Glyphosphate_Treatment	system	System.loc	X	Sample	I	D	year	ITS_seq_plate	ITS.date	X16s_seq_plate	X16s.date	original.well.plate	X.1	Year	Site	Plate.	Run.	Original.Well	q	PCR.Well	original.well	Well.Type	Replicate	Threshold..dRn.	Ct..dRn.	Quantity..picograms.	RSq..dRn.	Slope..dRn.	Correction	Axis.1	Axis.2	Axis.3	Axis.4	Axis.5	Axis.6	Axis.7	Axis.8	Axis.9	Axis.10	Axis.11	Axis.12	Axis.13	Axis.14	Axis.15	Axis.16	Axis.17	Axis.18	Axis.19	Axis.20	Axis.21	Axis.22	Axis.23	Axis.24	Axis.25	Axis.26	Axis.27	Axis.28	Axis.29	Axis.30	Axis.31	Axis.32	Axis.33	Axis.34	Axis.35	Axis.36	Axis.37	Axis.38	Axis.39	Axis.40	Axis.41	Axis.42	Axis.43	Axis.44	Axis.45	Axis.46	Axis.47	Axis.48	Axis.49	Axis.50	Axis.51	Axis.52	Axis.53	Axis.54	Axis.55	Axis.56	Axis.57	Axis.58	Axis.59	Axis.60	Axis.61	Axis.62	Axis.63	Axis.64	Axis.65	Axis.66	Axis.67	Axis.68	Axis.69	Axis.70	Axis.71	Axis.72	Axis.73	Axis.74	Axis.75	Axis.76	Axis.77	Axis.78	Axis.79	Axis.80	Axis.81	Axis.82	Axis.83	Axis.84	Axis.85	Axis.86	Axis.87	Axis.88	Axis.89	Axis.90	Axis.91	Axis.92	Axis.93	Axis.94	Axis.95	Axis.96	Axis.97	Axis.98	Axis.99	Axis.100	Axis.101	Axis.102	Axis.103	Axis.104	Axis.105	Axis.106	Axis.107	Axis.108	Axis.109	Axis.110	Axis.111	Axis.112	Axis.113	Axis.114	Axis.115
223.S11	223.S11	NA	NA	Stoneville	pre	205	NA	bulk	RR	corn	none	no_spray	NA	bahNT-MS	NA	Plate1	A	11	2013	235	4/11/16	223	3/4/16	A11-Plate1	NA	2013	Stoneville	Plate1	Run2	A5	A	5	A11	Unknown	81	1.0171	19.51	4.02	0.995	-3.616	0.806595223	-0.190736397448131	-0.194217885756908	-0.147465837818625	-0.00981038516608977	-0.0954937849548754	-0.0198738609319715	-0.033093855809477	-0.00840866691549352	0.0652280619969572	0.0165961843230102	0.0182099770264738	-0.0359417828096145	-0.0277103594934568	0.037025010249185	0.110156423381591	0.0256771346529149	-0.0571837854425881	0.0228924641803727	0.0109779158788833	-0.00084469841687442	0.0228125760515692	0.0210443641338067	-0.0393064623263402	0.0523844794163876	0.0159538444861094	0.00874322702014872	-0.00792570858709113	0.0185759159508668	-0.0122048846504268	0.0373204303998533	0.0112897417905996	-0.0437786786567395	-0.0414232541224301	0.00701941048985229	0.0104137442435021	0.0343712442339296	-0.00611436778470846	0.0153024037432323	0.0351026360649437	-0.0606889393760024	0.0142606377419682	-0.0130812143133162	0.00984417216133289	0.0171241910510561	-0.00764756131641529	0.0134407099005112	-0.0119149689885582	0.0211532321257238	-0.0194325617699183	0.0316793843252954	-0.0209304025455392	0.0169732160639629	0.0567311212389552	-0.0331489583071563	-0.0197883304462798	0.00809824650074653	-0.030496259421229	-0.0421352011811629	-0.00412362961304855	0.0134112160254756	0.0237736491155798	-0.0366697186824823	0.0286581193897845	0.0167484844023284	0.01556390557863	-0.036850814801382	-0.028944274519714	-0.0221533408888182	0.00680949962242076	0.0172175453370563	5.3103626595389e-05	-0.0074734931347046	0.00716754875871658	0.0323634944868906	0.00701055973502392	-0.000692327856975508	0.0594170166215137	-0.0121238299480391	0.036307325654888	0.0786385036697959	0.00680084808448586	-0.00748550253728657	-0.00118876275526625	-0.00181880339314698	-0.0274602166582362	-0.0218988640754753	-0.0219411208094384	-0.0293653652361641	0.0315698246705593	-0.0244861953361551	-0.029855419810504	0.0137814688405563	-0.0015627758481141	-0.0203288963599349	1.75383485481216e-05	0.0433213245490655	0.00719178825904458	0.0107376703144744	0.0201260610333584	0.0268914463373991	-0.00813842709159296	-0.00348951738371203	0.0224290863425441	0.00866770294200347	-0.00497912532764988	0.00472946715794397	-0.0158528879215982	0.00155972976878181	0.00313038198195135	0.00491498687727928	-0.00334129605145786	-0.00346013665182269	0.00205640123367955	-0.00240026877242199	-0.000528584008709976
223.S12	223.S12	NA	NA	Stoneville	pre	206	NA	bulk	RR	corn	none	spray	NA	bahNT-MS	NA	Plate1	A	12	2013	235	4/11/16	223	3/4/16	A12-Plate1	NA	2013	Stoneville	Plate1	Run2	A6	A	6	A12	Unknown	89	1.0171	19.36	4.43	0.995	-3.616	0.88885991	-0.264951028288948	-0.142443499312569	-0.152700155544809	0.0108044469679931	-0.0633715572803297	-0.046429222010723	0.0370334464749736	0.00494467923120605	-0.0715271790252916	-0.0143146579636888	-0.093063116646642	0.00869644303009717	0.0227568988253914	0.0152549268417555	0.14993116248782	-0.0120665079115624	-0.0691874244808816	0.00139665165155055	0.00130777616105544	0.0749568872345582	-0.0575479773783619	0.0209094664913965	-0.0401455767818043	0.104907548751314	-0.0158434884926798	-0.0608119810355026	-0.0364957294670323	0.0057125164318519	0.00655606334617188	0.0365192209598864	-0.0492842724306645	-0.0523824668697037	0.0185125721881598	0.00586014061983875	-0.00629783451666428	-0.0030179997034095	-0.0683425404850343	0.00908496421802087	0.0104809786187117	0.0329433538589311	0.0455956630782308	0.0460248725809441	0.00700112943763938	0.0338667614240835	-0.00714932243944423	-0.00609946741398353	0.0110607681441507	-0.0212745376461724	0.0306672113162383	0.017750509534109	0.0240200889079394	-0.00919022679788258	-0.0429236626039483	0.0103576954524449	-0.0113738171798712	-0.0460241562224901	-0.00133615730177248	0.0298108017987591	0.0134707412016739	-0.00725441876705532	-0.0270557351917626	0.0188902542844971	-0.00246584607870718	0.0278592478155294	-0.0241384219962218	0.0201539597366814	-0.000500438495196784	-0.00928174470426621	0.00829211727880222	0.0101879909362488	-0.00451921195772898	0.00531117526411408	0.00813377508914928	0.0103241692440571	-0.000263644026946085	0.00939661196260884	0.000835192444507552	-0.00229435429031353	0.022943660123541	-0.0267572492132299	-0.0529745887615142	-0.0295566973624238	-0.0301444278363586	0.0232011728657242	0.0269708617142494	-0.0151045794625099	0.0505794668334596	0.016171040849517	0.00390599292581744	0.00202752188775246	-0.0258109952615859	-0.0162545641444925	-0.00507084286281019	0.0195227319097591	0.0100869763066668	-0.00392155504439021	0.00572126560871006	-0.00766707460456588	-0.0101321724136285	0.00695786391713426	-0.0130563642877219	-0.0162843772702847	-0.024411674192534	0.0225063708928078	-0.011004640722003	-0.000363746824726779	-0.0135568752507798	-0.0186131138675356	0.0126776357814572	-0.00832590449184677	-0.00424909582749503	-0.0062337675758704	0.00347412277662138	0.00351916073851175	-0.00176199618926936
223.S14	223.S14	NA	NA	Stoneville	pre	102	NA	rhizosphere	RR	corn	15yrs	no_spray	NA	NT-MS	NA	Plate1	B	2	2013	235	4/11/16	223	3/4/16	B2-Plate1	NA	2013	Stoneville	Plate1	Run1	B2	B	2	B2	Unknown	10	0.5942	18.52	3.39	0.996	-3.498	0.680188509	0.303148053344657	-0.188623983705699	0.0671054267461065	-0.171420454543529	-0.115120052950022	0.0148343564613637	0.117523659401707	0.0700652912811788	-0.0142218481586793	0.0106534087776133	0.0109623427591935	0.0285296269314383	-0.0196281731754262	-0.0152553356970144	-0.0324557055577996	0.0145632241649686	0.0139898084505033	-0.0456930074349458	0.0506571275221922	-0.0611883683344165	0.0271336330173773	0.00897549123823214	0.0225451488141519	0.0237360142741297	0.00840287676499005	0.0130623728489407	0.0108158198364013	-0.0425152485619936	0.0173026214664538	0.000228446418634379	0.0419829773115643	0.0174022071708957	0.0283542419376891	0.0434201895370741	0.0407098158953267	-0.00427981570664494	0.0110767267669302	0.026999017675583	0.0190873648868143	0.0558837965174723	-0.0179955161394125	0.0699259866813256	0.00957114298804736	-0.0170667979648307	-0.00384277841353974	-0.0295510873914528	0.015017763599725	0.0366038933490864	-0.0615755204898325	0.0392680133994788	0.00837320120191585	0.00290038208722617	-0.0745993740860263	-0.0223395416126014	0.0324490653523078	-0.034513922776053	0.0184337950736165	-0.0112363986041999	0.056103535392485	0.00242028587450716	-0.0138940949526004	-0.0122643349443087	0.0221463100081495	0.0551702031425777	0.0204240637364641	-0.00606731970114547	-0.0137674362846316	0.0387976389572368	0.0634207733492958	0.00687416896858774	0.0222530577823575	0.00410153603545021	0.00284935134299717	0.00124377726055661	0.0413526254628348	0.0112320672386592	-0.0290673077616179	0.0142728082225831	0.0162014140912814	0.00793410127112539	-0.00235953245828618	0.00453379028412886	-0.0158467390860446	-0.0502561501406987	-0.0345592476214631	-0.000550991060016428	-0.000668223393928478	0.00584734982034795	-0.00159799412005428	-0.0183558206067066	-0.00533483367323476	0.0232628298447936	0.0104808015149583	-0.0309255762077142	0.0101609344716246	-0.00179046104955417	0.00803336847906662	-0.00542743247809664	0.0169795238512293	0.00375042208613664	-0.008489417856633	0.00646710008430749	-0.00821872182647405	0.00570211424495967	-0.0164160982764735	-0.0145519749883555	0.00429766553890245	-0.00330291610323448	-0.008698909002383	-0.0101663233341344	-0.00515416508847611	0.00657679977584462	0.00607747610482511	0.00315426498339774	-0.000796724469504024
223.S15	223.S15	NA	NA	Stoneville	pre	103	NA	rhizosphere	RR	corn	15yrs	spray	NA	NT-MS	NA	Plate1	B	3	2013	235	4/11/16	223	3/4/16	B3-Plate1	NA	2013	Stoneville	Plate1	Run1	B3	B	3	B3	Unknown	18	0.5942	18.24	4.05	0.996	-3.498	0.81261459	0.317061850964767	-0.198269109137821	0.070508361451325	-0.176856158575832	-0.118469059191357	0.00377314263817908	0.123477102658785	0.0723804689868132	-0.0112347497967233	-0.0180770365882718	-0.0102503588476672	0.0119192387615789	-0.0356612418489151	0.0264719225025127	-0.0335999855433555	0.00749369470130668	0.0314212340573631	-0.0558196651884494	0.0346953991094598	-0.0360365919406267	0.0342537816935091	-0.00817589999857539	0.0054769533935857	0.00685168485610128	-0.0349164194374647	0.0208618958551658	-0.00748259142998547	0.00510629193062681	0.026354243828301	-0.0308057285203645	0.0403234806988626	0.0153363687049584	-0.0026397100168278	0.00871264416947316	-0.0203781813767559	-0.00625359288950336	-0.0172894773878559	0.0295600000718577	-0.0167530102731012	-0.0176252687778943	-0.0255501688574712	0.0442628732996838	-0.0292721890590523	-0.000510290003064409	-0.00457985904093162	0.0113871493217445	-0.00579248220815651	0.0207658204689399	0.0514037031901531	0.0158011687177623	-0.100793516621803	-0.00903083573987929	-0.00500722432609303	0.0478531572660511	-0.069918192777126	0.0244464222489853	-0.037498072779433	0.0536758949035695	0.00225343606983878	0.0336987036553375	-0.0311953010180931	-0.0177840857981765	0.0223981903522049	-0.039986753792818	0.00483243650440912	0.026791284418808	0.0163293699431174	-0.0314547570760239	-0.000769237569324511	0.0121261937334111	-0.0276551373895903	0.00531844553192184	0.0013470646736336	0.00391512231142668	0.0104046823264369	0.0182444174040446	0.0272525368211457	-0.0404376802250401	0.030534649291413	-0.0554163834211319	0.000850157533767221	0.0132422896785114	0.037227714428175	0.0296545655960379	0.0310914616468101	0.00227456512094777	-0.0229422435529392	-0.0207192435180353	0.00908830930995591	-0.0243590142075338	0.00486223422538443	-0.00259615602130652	0.00626700710411472	-0.00646096960820386	-0.00501058903933718	0.0141287006907311	0.0237410162734921	0.0108516919485221	-0.00534906802740956	0.0018436196480644	-0.0113061638254486	0.0134110249085705	-0.0074573735411848	0.0161878819947921	-0.0100252240020926	0.00702227867371828	-0.00333475083332062	0.000576777430479248	0.00591502255957385	-0.00737847888441552	-0.00214271317728753	0.00111429683522566	-0.0054281966074995	0.00250598454348844	-0.00397727729709661
223.S17	223.S17	NA	NA	Stoneville	pre	105	NA	rhizosphere	RR	corn	none	no_spray	NA	bahNT-MS	NA	Plate1	B	5	2013	235	4/11/16	223	3/4/16	B5-Plate1	NA	2013	Stoneville	Plate1	Run1	B5	B	5	B5	Unknown	34	0.5942	18.36	3.75	0.996	-3.498	0.752420917	-0.303298317108942	-0.195092271068657	-0.145323308383716	-0.0209334389662469	-0.0499887462741119	-0.0500936277495906	-0.0151724363607923	-0.0546149409157615	0.0494376470829994	-0.0102457610902658	-0.0420706562286014	0.0214029659606098	0.00845236209529702	-0.0389835409733275	-0.063473643357184	-0.0300084672002704	0.0254755420094248	-0.0660580565260333	-0.00858237345575263	-0.0129501980215743	-0.0225665374708814	0.0357260967442879	-0.00754043767365425	0.00326536870946462	0.0128773335176644	-0.0395104141020038	0.009707867289601	-0.038568187544109	0.0266905591839975	-0.0124095573536071	0.0296263735626021	-0.0109574096757333	0.0306801127116191	-0.0372256236214931	-0.0395044455658831	-0.0100547647142875	-0.005354546927641	0.0267046451971342	0.0158167046260581	0.0192110932342606	-0.0103554491545579	0.0024495885068975	-0.0056449889942263	-0.00127529786133705	-0.0126960995163864	-0.0154499040571883	0.0246785920149801	0.00883338763979217	-0.0193305840057363	-0.00230845430202563	0.0183773415402464	-0.00600164900671776	0.041629660521038	0.0119069399331786	0.0323562657304357	-0.0191097665128521	0.02064231328206	0.0130221309991515	-0.0188740245670488	0.0532373906676204	0.0144844072673658	-0.0278072298821736	-0.00410348831455712	-0.0390798098784727	0.0308404127423723	0.00869818197246026	-0.0503972966087914	0.0261239945578838	-0.0278845228519832	0.0238595735483432	0.0481396179845462	0.036625756603622	-0.0434377483302713	0.00368556594629648	0.0202969439722555	0.0295390687677438	0.0608013142195118	0.00457549523829013	-0.0557159338463878	-0.0151660016579706	-0.00604795865857013	0.0173318566597927	-0.00258646909090651	-0.0198734910942703	0.0261248751391448	0.0198570975507084	0.0301209706418183	-0.00262161659725837	0.0226310175721092	-0.0307494900487423	-0.0186564968969869	0.0320231846750421	-0.0155699257717896	0.0370021090158289	-0.00337669290825137	-0.0136252929616182	-0.0167339678817325	0.0188227183947653	-0.0172930727865066	0.0123756690431891	0.0327078314443899	0.0207002447232969	0.0151305172936288	0.00405843119235124	-0.00497718661762019	-0.0105654980943068	-0.00541259024146469	-0.0230157085330791	0.00638252704217448	0.00852453445917575	-0.0119052804118454	0.00216952794598281	0.0107240382078369	0.000509992480014473	-5.92909238656605e-05
223.S18	223.S18	NA	NA	Stoneville	pre	106	NA	rhizosphere	RR	corn	none	spray	NA	bahNT-MS	NA	Plate1	B	6	2013	235	4/11/16	223	3/4/16	B6-Plate1	NA	2013	Stoneville	Plate1	Run1	B6	B	6	B6	Unknown	42	0.5942	18.48	3.45	0.996	-3.498	0.692227243	-0.300815948650672	-0.208250967657842	-0.117128213714834	-0.0342046871133358	-0.0305824751069866	-0.065700801120562	-0.0122120828986601	-0.084996456132102	0.0739825032150766	0.0208201207126404	-0.0613414971621948	0.0289862827577326	0.0154044274932189	-0.0476755200084875	-0.0559232288265548	0.00106213478407225	-0.012965574954198	-0.0418450863041661	-0.00457377714426495	-0.0215856835821256	0.0143750312416733	0.0529410136228641	-0.00522656929338359	0.00473123624769257	0.00131459553379017	0.00266045708978572	-0.00506420406534643	-0.0175074121861993	0.0110841214481434	0.00307324799358621	0.0420057643250561	0.00534101368882848	0.0345706937730308	-0.0334993821814647	-0.0356962198545566	-0.00416298889018885	0.0131931652510387	6.86401778543374e-05	-0.0063845868540158	-0.00929753146840944	-0.0475043728192942	-0.0379788202232385	-0.0132565749081681	0.0205752443714397	-0.0123667192363225	-0.0163985937064732	-0.000995155546192798	0.00504388789970451	-0.0124127487433941	-0.0132589155939273	-0.0395378166870636	0.028490943649806	-0.007279949597729	0.021842285630688	0.0602575830634819	-0.001455855067124	0.0233190445382279	0.00147259494779751	-0.0180681913469877	0.00799627353659072	0.037798471192592	-0.0151089590624536	-0.0398804712680139	-0.0107613166949948	0.0190338557473581	0.00484368728361316	0.00374312237939147	-0.0234204870359915	0.0428155888196639	-0.00898977183435747	-0.0104059926822697	0.0032470465568053	0.00479840791274581	-0.00752007597525387	-0.0141447663910125	-0.0415552863484549	-0.0273044916986995	-0.0129539626854917	-0.00600569362674374	0.00506408145081799	0.0188876143376816	0.00606701265102238	0.0189955708610198	0.0149621552923341	-0.0204173192568987	-0.00941206570653605	0.0288902417211995	-0.00524267778189496	-0.0220781316991802	0.0139454545744255	-0.0105403438630399	-0.0638448919368356	0.0348032646104787	0.0035402644474402	0.0395448308957069	0.0275914344081015	0.034465440688996	0.00410230455597977	-0.0154768542705789	0.0171995041114821	-0.0476228429856416	-0.0367726981373732	-0.0160963596195786	-0.00853044362048114	-0.0233746902734508	-0.00835497214101283	-0.0203366174991379	0.00078465004401328	-0.0197652401261863	0.00112891089905169	-0.00334120450289892	-0.0106700223762534	0.00659350901034178	0.00777406358460653	0.0057097723502787
223.S2	223.S2	NA	NA	Stoneville	pre	102	NA	bulk	RR	corn	15yrs	no_spray	NA	NT-MS	NA	Plate1	A	2	2013	235	4/11/16	223	3/4/16	A2-Plate1	NA	2013	Stoneville	Plate1	Run1	A2	A	2	A2	Unknown	9	0.5942	18.57	3.27	0.996	-3.498	0.656111039	0.308197065339202	-0.14673915647267	-0.0183876826627891	-0.105906104320733	-0.101690218846528	0.018074909059711	0.099821079267231	0.0945561807205896	-0.0571122570980188	0.0493783128076348	0.0708563479700284	0.0809681695916067	0.034635529597732	-0.0552651189429871	0.0446598926139722	0.0105569268452016	-0.00342147309023712	0.0292475162663507	0.0379692387084775	-0.0579938757039055	0.0190125093575612	-0.0113745799370052	0.0690263615312372	0.0307598113588414	0.0448351904600021	-0.0304201968048627	0.0759964783410799	-0.0530837066723428	0.00964409059545673	0.0462861608352799	-0.00670296387486997	0.00410312262313495	0.00425226999883642	0.00817054550135496	0.048792129172833	0.0271092598490739	0.0134271056276751	-0.0189989786453978	-0.0211208828428713	0.0097504510717018	-0.011001176818679	-0.00177079302629232	-0.0149703560153356	-0.0259009298148128	0.0190420202409949	0.011535708996672	-0.0302810057254422	0.0262555151444041	-0.00527559574650504	-0.0134841978485802	0.0312319491568443	-0.0180804754743166	-0.0245848799392322	0.015603986127296	0.0164096590868335	-0.068311383721777	-0.00300648658105838	-0.022500635421275	0.0203816327494856	0.0499461808657406	0.00331854295254656	0.0354509708961933	-0.0397459935458039	-0.0301672885041269	0.00461987186180476	-0.0193234890139837	-0.0234290666313903	-0.0641362118751211	-0.046207906515957	-0.0169735153143004	-0.00270586195020216	-0.0175491392556319	0.0328494339413914	-0.0295400274794519	-0.0403747675627227	-0.0274043053162783	0.0405842101299382	-0.055106841991865	-0.0135283578571643	0.00144297639214146	0.0140450239887542	0.00349450900629218	-0.0172823746898212	0.00955710629159959	0.0155540079779869	-0.00670835828076002	0.0211982468734911	0.0133293036761316	-0.000374140081167706	0.019148541233169	0.0239649902941761	-0.000141987747602	-0.0198954693164751	-0.0155978001524772	-0.00162255304920204	0.0247960724529953	-0.0345250364151671	-0.000895664686746158	-0.00234138302761963	-0.00759716216256262	-0.00821116451823104	-0.00232925734323285	0.0145497457706602	-0.0144370608294645	0.00398186894607779	0.00390667897912392	-0.00248133141615529	0.00110910245687339	0.0040336150742346	-0.000391877898169748	-0.00319745932103923	-0.00239922343384688	-0.00646588801370492	-0.000558206490141597	-0.00370517801565747
223.S20	223.S20	NA	NA	Stoneville	pre	202	NA	rhizosphere	RR	corn	15yrs	no_spray	NA	NT-MS	NA	Plate1	B	8	2013	235	4/11/16	223	3/4/16	B8-Plate1	NA	2013	Stoneville	Plate1	Run2	B2	B	2	B8	Unknown	58	1.0171	18.73	6.59	0.995	-3.616	1.322254358	0.262542852218248	-0.108921079438886	0.262454715016884	-0.00222779668704205	0.00607234979660134	0.0234103257873419	-0.041569054726431	0.0739547356993473	-0.0300799381594578	-0.0548794198429286	-0.0215240449096668	-0.0172985427851165	-0.00133136165621183	-0.0589523016390597	0.0302674552190374	-0.00294994614823934	-0.0223074808361514	-0.047096451250784	0.0398296282623833	-0.0807466779320885	-0.0417479840275072	-0.0594769572881093	0.0376691083370055	0.0246975356964805	-0.0133027486951049	0.0499809746287113	-0.08772294694288	-0.0613249634857919	0.00411558296402616	-0.0524219858469937	-0.0245025989352886	-0.00282873547457376	-0.0521598890602447	-0.0955019919223666	-0.0441951018269707	0.0681667927496215	-0.0169239949607913	0.0150635378537675	0.0423276005927069	-0.0401213371282937	0.0309311095613488	-0.00784992656162776	0.00765054883903973	-0.00683119497257335	0.0191284649379526	0.0416976247734476	0.0275240200776899	0.0402559872545997	-0.00856890563636251	0.0276631936747008	-0.0142721756702287	-0.0230669101735504	-0.0204878332308144	0.0334516322036897	0.0115254879970841	0.00553657589101732	0.0330027413859069	0.0165050620561918	-0.0298558532393686	-0.04439700199509	-0.0365728615445994	-0.012468691730344	-0.00157206678361771	-0.00334734308038258	-0.0191824225482792	-0.00937787079625151	-0.00186399029588893	0.00578344710349511	-0.0175468645297336	-0.0469448296821187	0.00798560903863068	-0.0119428302647505	-0.0148048476804255	0.0097866729847269	-0.0218676756784157	0.0153898195014788	0.0071888251433515	0.0142456261025958	-0.000842696935099343	0.00153389370405523	0.000243725504612415	-0.0102130632443818	-0.0265585165650727	-0.00453269843025433	-0.00939954810288852	-0.0172450868156382	0.00452836809184272	0.0138739408116096	0.0073656955908137	0.00126063698076231	-0.00115439029643397	0.0281385123744008	-0.0194572520374912	-0.00824468748147431	0.0096848656805484	-0.00918655699208146	0.0149612796359954	0.00203833589312951	-0.0101177183370696	0.00202764643145915	-0.00259987193429712	-0.0079478496274842	-0.00166782696283137	-0.036644878928785	-0.00860080790483715	-0.00786862678244872	-0.0105234098963317	0.0185963597166218	-0.0265071000497715	0.0147949701832419	-0.0125849791820632	-0.0223860311031829	-0.00661249679163333	-0.00414180027639766	-0.0115002750571217
223.S21	223.S21	NA	NA	Stoneville	pre	203	NA	rhizosphere	RR	corn	15yrs	spray	NA	NT-MS	NA	Plate1	B	9	2013	235	4/11/16	223	3/4/16	B9-Plate1	NA	2013	Stoneville	Plate1	Run2	B3	B	3	B9	Unknown	66	1.0171	19.12	5.14	0.995	-3.616	1.03131827	0.337459694481269	-0.131908011558913	-0.0616436327002264	-0.0948133845924479	-0.0913793159858178	-0.0682327691953818	-0.00616096235934035	-0.00455997897960218	-0.0508163834522864	-0.0371796347154944	0.0988500113277079	0.0600358303332403	0.0333490976153604	0.0167118234096433	-0.071886378741162	0.0163595803867667	-0.0016880935048764	-0.0200062284823965	0.0378641137516619	0.0427546112653272	0.0178274647149412	0.0594696698400631	0.0202798075064935	0.0165858227903124	-0.0140818221881062	0.0224142228103587	0.0158064410313613	0.040864131178917	0.0430752140730149	0.00210155384602182	0.00641987555822048	-0.0253047196464837	-0.00207879581215187	-0.00861856986806337	-0.0257116602700766	-0.00703758501940988	0.0224210582278614	0.0266466678540428	-0.00511823508800204	-0.00550135804541009	-0.002363832426739	-0.00325537366922206	-0.0188073998500752	-0.0286312176688335	0.0433182128009444	0.0229940968731971	0.00686143577722345	-0.034291494377519	0.0177071855032944	0.00973608803829307	-0.0127468751273122	-0.00647159745768403	6.76035747894131e-05	-0.0295116465547806	0.00968706071345678	0.0429942372427902	-0.045002271406513	-0.0205217509575719	-0.0396319654249332	-0.013326337910957	0.00962785779672191	-0.00850940073334495	-0.0460415525173978	0.0352593516983486	-0.00870825253067207	-0.0194378709261274	0.0227826782490058	0.00152911012674081	-0.007056859353542	-0.00935521802895628	0.0131024344882893	0.0314281685035245	-0.0114799988532209	-0.00990590370057765	0.0132289279553106	-0.00170060480685517	-0.00698138771349453	-0.0109516982068951	0.00289502376000313	0.0100779599769309	-0.00156436774211998	0.00172194966067673	0.00359663648293726	0.0258668496580544	-0.0253022492203494	-0.0152023042062645	0.0393454297448477	0.0172065008170074	-0.028819913623172	0.0352762879871194	-0.0434435046413493	0.0114543835510874	-0.031676794325698	0.00470062361810666	-0.0730276305459065	0.00175016430852899	0.00120693259637444	-0.0306806399322233	-0.0344476794720175	0.00583319290944743	0.00418797710333655	0.0103364283173262	-0.000895807971812522	0.0149826391816673	0.0145592437063067	-0.0351996926349955	-0.00554913502174499	0.0111210354480248	-0.0151083131219203	-0.0122215773587822	-0.0151577778649523	-0.00628589218701721	0.0131644061133006	-0.00198208093605097	-0.00149799822035705
223.S23	223.S23	NA	NA	Stoneville	pre	205	NA	rhizosphere	RR	corn	none	no_spray	NA	bahNT-MS	NA	Plate1	B	11	2013	235	4/11/16	223	3/4/16	B11-Plate1	NA	2013	Stoneville	Plate1	Run2	B5	B	5	B11	Unknown	82	1.0171	19.5	4.03	0.995	-3.616	0.808601679	-0.207436654818674	-0.236959127704927	-0.114002828758743	-0.0458064563330313	-0.0962735540488811	-0.0176263953465886	-0.0400319400285802	-0.0664501073179691	0.0917748977533986	0.0120221795613487	0.0260061693571333	-0.0207883204384601	-0.0554553634674668	0.0137465625923005	-0.0064040059236962	-0.0170526070918511	-0.0396165848373107	-0.0115463569525427	0.0150706955865924	-0.0305498602830197	0.0480527940134083	0.0615263176370099	-0.0200574066147256	0.0623237225188072	0.070210012314425	0.0833513678819771	-0.0313948930709584	0.00662795359789372	0.0143430848802702	-0.0136741864917909	0.0374160121215592	-0.0262852727394768	-0.037841588616838	0.0414004314394621	0.0320587703882232	0.0631374610787573	0.00286322932368265	-0.0189446728870634	0.0210322240469887	-0.0611092470162256	0.00377414000432467	0.008637141422651	-0.0142245546192365	0.0375249224339223	-0.0469930490261353	-0.00920301427636788	-0.0314367004365372	0.0469160361079836	-0.0123227386053149	-0.00485635415281504	0.027100107699761	0.0412819910548446	0.010933514844658	-0.0279074551183485	-0.0676684582670814	-0.0261322782852015	0.0222625270273214	-0.0462346384606281	-0.0335622861223908	0.00315195775807193	-0.0122827237366118	0.0514569824164086	0.00748938085845073	-0.0137219862574071	-0.0142433733941966	-0.0123844278123918	0.0396294497620889	0.00503519675981965	0.000873770760913766	-0.0196468513119266	-0.00147968477882658	0.00348256137466768	-0.022091663870011	-0.0368561722696516	0.0356957557790496	0.00700843205300884	-0.0300269076075283	0.0198430592574528	-0.0281045094067488	-0.0282488619083393	-0.0150336450942774	0.0104717596196526	0.00857407441701845	0.0238042458291252	0.00103505344187286	0.0414515773102001	0.0181663338125704	0.000975781051871983	-0.00111129975104253	0.011118435759958	0.0180624131651783	-0.00654653399501777	-0.0092089068626736	-0.00851494610490962	0.012968863581997	-0.0370959820220666	-0.0130941207177336	-0.00470345871200219	-0.0222421006457469	-0.0136393125581942	0.00694340754040673	0.00423156177120643	-0.00592141509986696	-0.00946083619487088	-0.000598382402820621	0.00591093961487113	-0.00196785010876141	0.00285782879262014	0.00629221499727745	-0.017282672346089	-0.00176125383536292	0.00128364609580172	-0.0147661105272699	-0.00326316760211384	0.00492780326433366
